,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
America-,109331,107438,108271,106746,110033,109417,104116,124781,116487,117790,115135,111425,108561,101856,92967,93174,91630,89849,89264,89425,149578,150653
Co-ti-e-tal,45683,44946,46951,50134,53324,54670,53839,50304,48667,50288,50436,53131,55506,52989,49529,48797,50725,-,-,-,-,-
Delta,100067,105516,110370,110238,112626,113661,107282,100077,93067,98462,98498,82726,78462,72636,67485,110096,108783,108774,111667,116478,123479,129920
-orthwest,53305,56631,57905,54278,60479,61804,58900,56362,54669,56245,55285,50894,49740,45189,41046,-,-,-,-,-,-,-
U-ited,100345,102854,105366,109979,114856,110028,100836,94363,88727,93413,83893,86799,83970,77397,69335,67521,62314,110625,108407,107273,110361,114059
US Airways,55670,53207,53296,51001,52379,57849,55898,45681,39521,40443,40098,34340,39999,58085,53251,52702,53152,54504,57388,58647,-,-
America West,19175,20937,22804,23634,25402,26605,25980,26205,26925,29169,29353,28580,20547,-,-,-,-,-,-,-,-,-
 --sub -etwork,483576,491529,504963,506011,529098,534033,506851,497774,468063,485811,472697,447895,436785,408152,373612,372289,366604,363751,366726,371823,383418,394632
Southwest,36841,40900,44728,47619,52901,59941,65538,69059,71911,77006,85354,92795,99776,103494,98177,98563,103891,126278,127776,128413,137019,144085
jetBlue,-,-,-,-,-,1380,4260,8229,13689,18736,23667,28583,32149,30971,28773,29586,31556,33610,35536,35814,38949,42525
AirTra-,115,1467,1413,4604,5813,5917,6594,8408,10105,12005,15324,18933,22689,23814,23088,23008,23443,-,-,-,-,-
Fro-tier,717,1309,1810,2174,3387,4039,4681,5177,6618,8222,8563,9672,11326,11134,9905,10169,11103,10487,9439,10997,13853,17003
Virgi- America,-,-,-,-,-,-,-,-,-,-,-,-,941,4499,6687,7648,9512,12053,11890,11916,12353,14208
 -- sub LCC,37673,43675,47951,54397,62100,71277,81073,90872,102323,115970,132907,149982,166880,173913,166629,168975,179505,182429,184640,187141,202174,217821
Alaska,12960,13787,14277,15469,15899,15701,16281,17453,18880,20159,20198,20873,21519,21815,21204,22581,24291,26003,28139,30180,33543,35933
Hawaiia-,4411,4822,5169,5302,5951,6638,7235,6314,7101,6801,7118,7506,8737,8626,8651,8975,9008,9921,10414,11216,12186,12536
Spirit,669,858,1088,1550,3043,3865,4565,5589,5805,6282,5295,4833,6843,6501,6028,6575,7810,9685,12187,14571,19193,23259
Allegia-t,-,-,-,-,-,110,44,163,601,1174,1594,2761,3731,4280,5281,6040,6159,7293,8000,8806,10365,12120
 -- sub Other,18040,19467,20533,22321,24893,26314,28124,29518,32387,34415,34205,35972,40830,41223,41164,44170,47268,52903,58740,64774,75287,83848
Total All Sectors,539289,554672,573448,582729,616092,631624,616048,618165,602773,636195,639810,633848,644495,623288,581406,585435,593377,599083,610106,623738,660879,696302
Total I-dustry,614610,641732,655849,661495,701176,725929,706867,688235,696747,750549,758464,749625,762353,734039,683844,689911,697779,699590,708403,721277,756934,794282
