,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
American,65%,68%,69%,70%,69%,72%,69%,70%,73%,75%,80%,82%,83%,82%,83%,83%,83%,84%,84%,85%,86%,85%
Continental,65%,68%,71%,72%,73%,74%,73%,74%,76%,77%,81%,84%,84%,83%,85%,85%,83%,,,,,
Delta,63%,69%,71%,72%,71%,72%,68%,71%,74%,75%,77%,79%,82%,84%,84%,84%,85%,85%,85%,87%,87%,86%
Northwest,68%,69%,71%,71%,71%,73%,71%,73%,74%,76%,80%,83%,84%,85%,85%,,,,,,,
United,69%,71%,71%,72%,70%,71%,70%,71%,75%,78%,81%,82%,83%,83%,84%,85%,86%,85%,86%,86%,86%,86%
US Airways,65%,68%,71%,72%,69%,69%,68%,69%,72%,74%,74%,79%,81%,82%,83%,83%,85%,86%,86%,85%,,
America West,69%,71%,69%,68%,68%,71%,72%,74%,77%,77%,80%,80%,83%, , , , , , , , , 
 --sub Network,66%,69%,70%,71%,70%,72%,70%,71%,74%,76%,79%,81%,83%,83%,84%,84%,84%,85%,85%,86%,86%,86%
Southwest,65%,67%,64%,65%,69%,70%,68%,66%,67%,70%,71%,73%,73%,71%,76%,79%,81%,80%,80%,82%,84%,84%
jetBlue,,,,,,73%,77%,83%,84%,83%,85%,82%,80%,80%,80%,82%,83%,84%,84%,85%,85%,85%
AirTran,52%,64%,66%,58%,62%,70%,69%,67%,71%,71%,73%,73%,76%,79%,79%,81%,81%,,,,,
Frontier,48%,60%,57%,59%,59%,64%,58%,59%,69%,73%,80%,80%,79%,82%,81%,83%,87%,90%,91%,90%,87%,87%
Virgin America, , , , , , , , , , , , ,62%,76%,82%,82%,82%,80%,80%,82%,82%,84%
 -- sub LCC,64%,66%,64%,64%,68%,70%,68%,67%,70%,72%,74%,75%,75%,75%,78%,80%,82%,82%,81%,83%,84%,85%
Alaska,62%,66%,67%,67%,67%,69%,68%,68%,69%,73%,76%,76%,76%,77%,79%,83%,85%,87%,86%,86%,85%,85%
Hawaiian,78%,76%,77%,76%,78%,79%,81%,80%,81%,87%,89%,88%,88%,85%,86%,86%,86%,87%,87%,85%,84%,87%
Spirit,82%,68%,75%,76%,74%,73%,73%,73%,79%,78%,80%,83%,81%,82%,81%,83%,86%,86%,87%,87%,85%,84%
Allegiant, , , , , ,41%,39%,65%,74%,76%,81%,81%,83%,90%,90%,90%,91%,89%,89%,89%,87%,85%
 -- sub Other,66%,69%,70%,70%,71%,72%,72%,71%,74%,77%,79%,80%,80%,81%,82%,85%,86%,87%,87%,86%,85%,85%
Total All Sectors,66%,69%,70%,70%,70%,72%,70%,71%,73%,75%,78%,80%,81%,81%,82%,83%,84%,84%,84%,85%,86%,85%
