,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
American, $        0.010, $        0.011, $        0.011, $        0.009, $        0.009, $        0.014, $        0.015, $        0.013, $        0.015, $        0.020, $        0.028, $        0.032, $        0.034, $        0.049, $        0.032, $        0.036, $        0.046, $        0.049, $        0.048, $        0.044, $        0.025, $        0.020
Continental, $        0.010, $        0.012, $        0.012, $        0.009, $        0.009, $        0.015, $        0.013, $        0.011, $        0.014, $        0.018, $        0.027, $        0.030, $        0.032, $        0.047, $        0.028, $        0.031, $        0.041, $               -  , $               -  , $               -  , $               -  , $               -  
Delta, $        0.010, $        0.012, $        0.012, $        0.010, $        0.010, $        0.012, $        0.012, $        0.011, $        0.013, $        0.019, $        0.027, $        0.032, $        0.035, $        0.049, $        0.038, $        0.038, $        0.048, $        0.050, $        0.046, $        0.055, $        0.030, $        0.023
Northwest, $        0.012, $        0.014, $        0.013, $        0.011, $        0.011, $        0.017, $        0.016, $        0.014, $        0.016, $        0.023, $        0.032, $        0.038, $        0.037, $        0.061, $        0.032, $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  
United, $        0.010, $        0.012, $        0.011, $        0.009, $        0.009, $        0.013, $        0.014, $        0.012, $        0.014, $        0.019, $        0.027, $        0.032, $        0.034, $        0.046, $        0.027, $        0.036, $        0.045, $        0.048, $        0.046, $        0.043, $        0.028, $        0.021
US Airways, $        0.010, $        0.012, $        0.012, $        0.009, $        0.010, $        0.017, $        0.014, $        0.012, $        0.014, $        0.018, $        0.028, $        0.031, $        0.034, $        0.047, $        0.025, $        0.032, $        0.046, $        0.046, $        0.044, $        0.041, $               -  , $               -  
America West, $        0.009, $        0.011, $        0.010, $        0.007, $        0.009, $        0.014, $        0.013, $        0.011, $        0.013, $        0.018, $        0.025, $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  
 --sub Network, $      0.010, $      0.012, $      0.012, $      0.009, $      0.009, $      0.014, $      0.014, $      0.012, $      0.014, $      0.019, $      0.028, $      0.033, $      0.034, $      0.049, $      0.031, $      0.036, $      0.046, $     0.049, $     0.046, $     0.047, $     0.027, $     0.021
Southwest, $        0.010, $        0.012, $        0.011, $        0.008, $        0.009, $        0.014, $        0.013, $        0.012, $        0.013, $        0.014, $        0.017, $        0.023, $        0.025, $        0.034, $        0.029, $        0.035, $        0.045, $        0.046, $        0.042, $        0.039, $        0.024, $        0.023
jetBlue, $               -  , $               -  , $               -  , $               -  , $               -  , $        0.013, $        0.010, $        0.009, $        0.011, $        0.013, $        0.021, $        0.026, $        0.029, $        0.042, $        0.028, $        0.031, $        0.043, $        0.044, $        0.043, $        0.041, $        0.026, $        0.019
AirTran, $               -  , $               -  , $               -  , $        0.012, $        0.012, $        0.024, $        0.021, $        0.018, $        0.018, $        0.018, $        0.027, $        0.032, $        0.033, $        0.047, $        0.027, $        0.034, $        0.047, $               -  , $               -  , $               -  , $               -  , $               -  
Frontier, $               -  , $               -  , $               -  , $        0.010, $        0.009, $        0.014, $        0.012, $        0.012, $        0.013, $        0.018, $        0.027, $        0.031, $        0.032, $        0.047, $        0.025, $        0.030, $        0.044, $        0.045, $        0.043, $        0.041, $        0.022, $        0.017
Virgin America, $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $        0.035, $        0.043, $        0.024, $        0.030, $        0.040, $        0.040, $        0.038, $        0.037, $        0.022, $        0.018
 -- sub LCC, $      0.010, $      0.011, $      0.010, $      0.009, $      0.009, $      0.015, $      0.013, $      0.013, $      0.013, $      0.015, $      0.020, $      0.025, $      0.028, $      0.038, $      0.028, $      0.034, $      0.044, $     0.045, $     0.042, $     0.039, $     0.025, $     0.022
Alaska, $        0.010, $        0.012, $        0.011, $        0.008, $        0.010, $        0.016, $        0.013, $        0.012, $        0.013, $        0.019, $        0.026, $        0.031, $        0.032, $        0.043, $        0.023, $        0.030, $        0.041, $        0.041, $        0.039, $        0.036, $        0.021, $        0.016
Hawaiian, $        0.011, $        0.013, $        0.013, $        0.011, $        0.011, $        0.016, $        0.013, $        0.013, $        0.012, $        0.017, $        0.025, $        0.029, $        0.030, $        0.043, $        0.024, $        0.030, $        0.041, $        0.042, $        0.040, $        0.038, $        0.023, $        0.018
Spirit, $               -  , $               -  , $               -  , $               -  , $        0.013, $        0.018, $        0.015, $        0.015, $        0.018, $        0.023, $        0.026, $        0.031, $        0.030, $        0.037, $        0.023, $        0.029, $        0.040, $        0.040, $        0.038, $        0.035, $        0.020, $        0.016
Allegiant, $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $               -  , $        0.037, $        0.041, $        0.054, $        0.031, $        0.040, $        0.054, $        0.052, $        0.048, $        0.044, $        0.027, $        0.021
 -- sub Other, $      0.010, $      0.012, $      0.011, $      0.008, $      0.011, $      0.016, $      0.014, $      0.012, $      0.013, $      0.019, $      0.025, $      0.031, $      0.032, $      0.043, $      0.024, $      0.031, $      0.042, $     0.042, $     0.040, $     0.037, $     0.022, $     0.017
Total All Sectors, $      0.010, $      0.012, $      0.012, $      0.009, $      0.009, $      0.014, $      0.014, $      0.012, $      0.014, $      0.019, $      0.027, $      0.031, $      0.033, $      0.047, $      0.030, $      0.035, $      0.045, $     0.048, $     0.045, $     0.045, $     0.026, $     0.021
