,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
American,3.7,3.37,3.51,3.71,3.76,4.17,4.55,4.82,4.31,3.72,3.65,3.72,3.78,3.87,4.27,4.24,4.32,4.28,3.65,3.8,4.21,4.77
Continental,2.43,2.64,2.79,3.04,3.1,3.3,3.45,3.51,3.63,3.42,3.07,3.07,3.16,2.95,3.2,3.35,3.43,                  -  ,                  -  ,                  -  ,                  -  ,                  -  
Delta,3.25,3.43,3.34,3.36,3.44,3.72,4.1,4.31,4.79,4.38,3.34,3,2.95,2.91,3.32,3.48,3.53,3.86,4.08,4.41,4.74,5.02
Northwest,3.46,3.29,3.24,3.71,3.56,3.65,4.15,4.24,4.45,4.27,4.19,3.25,3.05,3.2,3.63,                   -  ,                   -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  
United,3.34,3.49,3.74,3.75,3.86,4.16,4.73,4.94,4.07,3.6,3.03,3.15,3.19,3.39,3.32,3.65,3.67,3.9,4.2,4.27,4.55,4.75
US Airways,4.88,5.49,5.37,5.32,5.56,5.34,5.62,5.35,4.75,4.17,2.81,2.87,3.21,3.2,3.25,3.32,3.32,3.54,3.64,3.75,                  -  ,                  -  
America West,2.06,1.9,1.89,1.98,2.07,2.21,2.42,2.34,2.47,2.3,2.43,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  
 --sub Network,3.45,3.48,3.53,3.65,3.71,3.95,4.35,4.48,4.25,3.83,3.35,3.23,3.27,3.31,3.56,3.65,3.71,3.94,3.96,4.14,4.49,4.84
Southwest,2.51,2.62,2.71,2.88,2.94,2.99,3.02,3.06,3.25,3.34,3.32,3.45,3.39,3.42,3.71,3.94,4.03,3.9,4.06,4.35,4.76,4.8
jetBlue,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,2.59,2.16,2.17,2.12,1.95,1.96,2.12,2.18,2.3,2.55,2.74,2.71,2.76,2.8,3.05,3.3,3.35
AirTran,                   -  ,                   -  ,1.52,2.18,2.2,2.53,2.65,2.57,2.47,2.46,2.33,2.24,2.18,2.19,2.28,2.38,2.52,                  -  ,                  -  ,                  -  ,                  -  ,                  -  
Frontier,1.6,1.36,1.38,1.42,1.6,1.99,2.19,2.45,2.34,2.35,2.47,2.37,2.3,2.23,2.24,2.13,2.34,2.41,2.44,2.24,2.02,1.75
Virgin America,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,2.88,1.87,1.56,1.66,1.65,1.66,1.85,2.34,2.28,2.5
 -- sub LCC,2.49,2.49,2.62,2.76,2.8,2.89,2.9,2.9,2.96,2.95,2.91,2.97,2.91,2.93,3.12,3.27,3.33,3.43,3.56,3.8,4.09,4.09
Alaska,2.59,2.73,2.99,3.05,3.21,3.53,3.82,3.85,3.92,3.89,3.5,3.47,3.36,3.38,4.04,3.64,3.49,3.53,3.48,3.45,3.43,3.44
Hawaiian,2.43,2.21,2.19,2.23,2.32,2.28,2.51,3.27,3.1,3.25,3.03,2.97,2.56,2.7,2.93,3.04,2.8,2.7,2.69,2.77,2.97,3.41
Spirit,1.68,1.8,2.01,2.24,2.02,2.13,2.13,2.08,2.31,2.31,2.66,2.59,1.93,1.84,1.82,1.94,1.94,1.94,1.88,1.91,1.77,1.84
Allegiant,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,1.5,1.55,1.35,1.54,1.74,1.77,1.84,1.98,1.88,2.08,2.33,2.39,2.66
 -- sub Other,2.52,2.56,2.74,2.81,2.86,3,3.22,3.4,3.41,3.42,3.19,3.09,2.79,2.81,3.17,3.01,2.89,2.85,2.8,2.82,2.79,2.9
Total All Sectors,3.37,3.39,3.45,3.57,3.61,3.83,4.17,4.26,4.05,3.69,3.28,3.18,3.18,3.21,3.45,3.54,3.58,3.75,3.79,3.97,4.25,4.49
