,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
American,4.73,4.45,4.56,4.56,4.52,4.78,5.7,4.94,4.67,4.13,4.17,4.11,4.33,5.35,4.98,4.97,5.48,5.06,5.29,5.52,5.28,5.11
Continental,4.81,5.13,4.93,4.96,5.07,4.86,4.93,4.9,4.23,4.61,4.53,4.5,4.53,4.82,4.77,5,4.75,                  -  ,                  -  ,                  -  ,                  -  ,                  -  
Delta,4.31,4.6,4.34,4.53,4.49,4.26,4.41,4.26,4.34,4.18,4.19,4.39,4.28,4.27,4.46,4.59,4.77,4.97,4.99,5.08,5,4.99
Northwest,4.38,4.4,4.36,4.78,4.4,4.49,4.6,4.8,4.37,4.67,4.91,4.83,4.95,5.2,5.06,                   -  ,                   -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  
United,4.25,4.33,4.34,4.29,4.3,4.53,5.13,4.44,4.29,4.18,4.32,4.37,4.57,5.63,4.57,4.76,5.32,5.12,5.1,5.05,4.82,5.12
US Airways,5.2,5.49,5.83,5.79,5.97,5.36,5.4,5.08,5.18,4.85,4.77,4.84,4.65,6.68,5.28,5.17,5.23,5.13,5.44,4.87,                  -  ,                  -  
America West,4.23,4.75,4.36,4.56,4.56,4.86,5.53,4.62,4.06,3.59,4.2,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                  -  ,                  -  ,                  -  ,                  -  ,                  -  
 --sub Network,4.52,4.6,4.57,4.65,4.62,4.64,5.06,4.68,4.46,4.31,4.39,4.44,4.51,5.25,4.81,4.84,5.09,5.06,5.15,5.15,5.04,5.07
Southwest,3.43,3.64,3.52,3.58,3.58,3.33,3.16,3.09,3.05,2.97,2.87,3.02,3.15,3.38,3.6,3.82,4,4.33,4.24,4.21,3.91,4.01
jetBlue,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,4.84,3.56,3.35,2.83,2.77,2.86,3.06,3.18,3.6,3.8,3.94,4.07,4.29,4.53,4.56,4.63,4.64
AirTran,                   -  ,                   -  ,6.76,4.9,4.32,4.27,4.49,3.93,3.99,4.14,4.35,4.26,4.09,4.09,4.31,4.57,4.78,                  -  ,                  -  ,                  -  ,                  -  ,                  -  
Frontier,7.38,7.68,7.34,5.92,5.4,5.72,5.75,5.43,4.73,4.42,4.15,4.4,4.05,4.25,4.31,4.87,5.49,4.92,5.49,4.57,4.32,4.11
Virgin America,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,9.27,6.4,4.88,4.79,5.14,5.16,5.17,5.26,6.09,5.71
 -- sub LCC,3.49,3.64,3.76,3.79,3.75,3.57,3.44,3.33,3.22,3.17,3.12,3.28,3.38,3.65,3.83,4.06,4.27,4.41,4.43,4.37,4.23,4.26
,,,,,,,,,,,,,,,,,,,,,,
Alaska,4.11,4.24,4.39,4.28,4.43,5.01,4.97,4.82,4.47,4.29,4.66,5.36,5.5,4.65,4.48,4.33,4.25,4.22,4.18,4.01,4.12,3.95
Hawaiian,3.88,3.93,3.87,4,4.91,4.48,4.05,5.83,4.49,4.56,4.69,4.92,4.91,4.67,5.65,5.79,6.5,5.5,5.18,5.33,5.26,5.76
Spirit,5.38,5.91,5.28,5.69,4.32,4.09,4.34,3.8,3.57,3.92,4.26,5.27,3.9,4,3.77,3.97,4.01,4.22,4.24,4.23,3.89,3.9
Allegiant,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,                   -  ,6.64,6.23,2.83,2.69,3.21,3.22,3.22,3.71,3.39,3.43,4.19,3.28,3.21
 -- sub Other,4.1,4.23,4.31,4.31,4.53,4.73,4.63,4.82,4.24,4.35,4.67,5.08,4.85,4.41,4.47,4.44,4.65,4.43,4.35,4.38,4.2,4.19
Total All Sectors,4.46,4.53,4.51,4.58,4.55,4.56,4.89,4.54,4.29,4.15,4.21,4.27,4.32,4.9,4.6,4.66,4.89,4.88,4.93,4.92,4.78,4.8
